mcq_id,question,difficulty,correct_option,option_b,option_c,option_d,topic,topic_name,option_a,id
1233,"Find the partial derivative $\dfrac{\partial^3 f}{\partial x \partial y \partial z}$ of the function $f(x,y,z)=x^3 y^4+z^2 x^3 y+4x^3 z^4$.",3,$\dfrac{\partial^3 f}{\partial x \partial y \partial z}=6x^2 z$,$\dfrac{\partial^3 f}{\partial x \partial y \partial z}=2x^2 z$,$\dfrac{\partial^3 f}{\partial x \partial y \partial z}=6x^2 y^3 z$ ,$\dfrac{\partial^3 f}{\partial x \partial y \partial z}=6x^2 y^3 z^2$,4,Differentiation,$\dfrac{\partial^3 f}{\partial x \partial y \partial z}=6x^2 z$,1051
1234,"Calculate the ${\underset{(x,y) \to (2,2)}{\lim}} \dfrac{x^2-y^2}{x-y}$.",3,$4$.,$2$.,The limit does not exist.,$0$.,15,Real Functions of Several Variables,$4$.,1052
1235,"Calculate the ${\underset{(x,y) \to (0,0)}{\lim}} \dfrac{x^2 y^2}{x^4+y^4}$.",4,The limit does not exist.,$2$.,$\infty$.,$0$.,15,Real Functions of Several Variables,The limit does not exist.,1053
1236,"Calculate the limit ${\underset{(x,y) \to (0,0) }{\lim}} \dfrac{x^2+y^2}{\sqrt{x^2+y^2+4}-2}$.",4,$4$.,$2$.,$+\infty$.,$0$.,15,Real Functions of Several Variables,$4$.,1054
1237,"Calculate the ${\underset{(x,y) \to (0,0)}{\lim}} \dfrac{x^2}{x^2+y^2}$.",3,The limit does not exist.,$2$.,$\infty$.,$0$.,15,Real Functions of Several Variables,The limit does not exist.,1055
1238,"Calculate $\displaystyle {\underset{x \to 0}{\lim}}\ \dfrac{x^2 \cos(x)}{x+1}$.
",1,$0$.,$2$.,$\infty$.,The limit does not exist.,3,Real Functions of a Single Variable,$0$.,1056
1239,Calculate the limit ${\underset{\theta \to \frac{\pi}{2}}{\lim}}\ \dfrac{\cos(\theta)+1}{\sin(\theta)}$.,1,$1$ .,$2$.,$\infty$.,The limit does not exist.,3,Real Functions of a Single Variable,$1$ .,1057
1240,Find ${\underset{x \to 0}{\lim}}\tan(5x)$,1,$0$.,$1$.,$\infty$.,The limit does not exist.,3,Real Functions of a Single Variable,$0$.,1058
1241,"Calculate the limit ${\underset{x \to 0}{\lim}} \dfrac{\sin(2x)}{x}$.
 ",1,$2$.,$1$.,$0$.,The limit does not exist.,3,Real Functions of a Single Variable,$2$.,1059
1242,Calculate the limit ${\underset{x \to \infty}{\lim}}\ \dfrac{5x+2}{7x-x^2}$.,1,$0$.,$1$.,$\infty$.,The limit does not exist.,3,Real Functions of a Single Variable,$0$.,1060
1243,Calculate ${\underset{x \to \infty}{\lim}}\ \dfrac{8x^2-5x}{4x^2+7}$.,1,$2$.,$0$.,$\infty$.,$-\infty$.,3,Real Functions of a Single Variable,$2$.,1061
1244,Calculate ${\underset{x \to -\infty}{\lim}}\ \dfrac{5x-7x^3}{2x^2+14x^3-9}$.,2,$-\dfrac{1}{2}$.,$0$.,$\infty$.,$-\infty$.,3,Real Functions of a Single Variable,$-\dfrac{1}{2}$.,1062
1245,Calculate ${\underset{x \to -\infty}{\lim}}\ \dfrac{5+2x-3x^3}{4x^2+9x-7}$.,1,$+\infty$.,$0$.,$2$.,$-\infty$.,3,Real Functions of a Single Variable,$+\infty$.,1063
1246,"Find the relative extrema of the function $f$: $\mathbb{R} \rightarrow \mathbb{R}$,  $f(x)=2x^3-12x^2$.",2," $x=0$ is a maximizer, and $x=4$ is a minimizer."," $x=1$ is a maximizer, and $x=4$ is a minimizer."," $x=0$ is a maximizer, and $x=2$ is a minimizer.", $x=2$ is a maximizer.,12,Optimization," $x=0$ is a maximizer, and $x=4$ is a minimizer.",1064
1247,"Find the relative extrema of the function $f$: $\mathbb{R} \rightarrow \mathbb{R}$,  $f(x)=4x^3-6x^2-24x+1$.",2," $M(-1)\ is\ maximizer, N(2)\ is\ minimizer$.",$M(1)\ and\ N(4)\ are\ minimizers$.,$M(-1)\ and\ N(2)\ are\ maximizers$., $M(3)\ is\ maximizer$.,12,Optimization," $M(-1)\ is\ maximizer, N(2)\ is\ minimizer$.",1065
1248,"Find $\displaystyle \int_{0}^{2} \int_{1}^{3} xy^2 \,dy \,dx$
",2,$\dfrac{52}{3}$ , $\dfrac{55}{3}$,"$\dfrac{1}{5}$ 
",$-77$,5,Integration,$\dfrac{52}{3}$ ,1066
1249,"Find $\displaystyle \int_{0}^{1} \int_{0}^{2y} (4+2x-y^2) \,dx \,dy$
",4,$\dfrac{29}{6}$ ,"$\dfrac{1}{3}$
",$\dfrac{y^2}{7}$ ,$\dfrac{4x+2x^2}{2}$,5,Integration,$\dfrac{29}{6}$ ,1067
1250,"Consider the table

$$\begin{array}{c|ccc}
x & 1 & 2 & 3   \\
\hline
y & 0 & 1 & 4 \\
\end{array}$$

Find the Lagrange's interpolation polynomial.",2,$P(x)=-(x-1)(x-3)+2(x-1)(x-2)$.,$P(x)=(x-1)(x-3)+(x-1)(x-2)$.,$P(x)=(x-2)(x-3)+(x-1)(x-3)+(x-1)(x-2)$.,$P(x)=(x-1)(x-2)(x-3)$.,26,Numerical Methods,$P(x)=-(x-1)(x-3)+2(x-1)(x-2)$.,1068
1251,"Consider the table

$$\begin{array}{c|cccc}
x & 1 & 3 & 4 & 5   \\
\hline
y & 0 & 6 & 24 & 60 \\
\end{array}$$

Find the Newton's interpolational polynomial.",2,$P(x)=x^3-3x^2+2x$.,$P(x)=x^3+3x^2+2x$.,$P(x)=-x^3-3x^2+2x$.,$P(x)=x^3-3x^2-2x$.,26,Numerical Methods,$P(x)=x^3-3x^2+2x$.,1069
1252,"Consider the table

$$\begin{array}{c|cccc}
x & 1 & 3 & 4 & 5   \\
\hline
y & 0 & 6 & 24 & 60 \\
\end{array}$$

Using Newton's interpolational polynomial, calculate $P(1)$.",4,$P(1)=0$,$P(1)=0.5$,$P(1)=-0.5$,$P(1)=1$,26,Numerical Methods,$P(1)=0$,1070
1254,Find the domain of the function $f(x)=\dfrac{\sqrt{x-1}}{\sqrt[4]{\dfrac{1}{x}}}$,1,$D=\{x \in \mathbb{R}: x \geq 1\}$,$D=\{x \in \mathbb{R}: x\leq 1\}$,$D=\{x \in \mathbb{R}: x\leq 0\}$ ,$D=\{x \in \mathbb{R}: x\geq \frac{32}{3}\}$ ,3,Real Functions of a Single Variable,$D=\{x \in \mathbb{R}: x \geq 1\}$,1071
1255,Find the domain of the function $f(x)= \dfrac{x^3}{\sqrt{x}}$,1,$D=\{x \in \mathbb{R}: x>0\}$ ,$D=\{x \in \mathbb{R} : x>3\}$,$D=\{x \in \mathbb{R}: x \neq 0\}$,$D=\{x \in \mathbb{R}: x<0\}$,3,Real Functions of a Single Variable,$D=\{x \in \mathbb{R}: x>0\}$ ,1072
1256,"If a triangle has a square angle and the two adjacent sides are equal in length, what are the other two angles in the triangle?",1,45 degrees each,90 degrees and 0 degrees,33 degrees each,90 degrees each,7,Fundamental Mathematics,45 degrees each,1073
1257,How many sides does a square have?,1,4,3,2,12,7,Fundamental Mathematics,4,1074
1258,"Find $\displaystyle\int_0^1\int_0^1\int_0^1 1 \,dxdydz$",2,$1$,$\displaystyle\frac{1}{2}$,$\displaystyle 3$,$0$,5,Integration,$1$,1075
1259,"Evaluate $\displaystyle\iiint\limits_E 1\,dV$ where E is the region from the first octant between $\displaystyle y+z=4$ and $\displaystyle y=x^2$",3,$\dfrac{128}{15}$,$\dfrac{124}{15}$,$\dfrac{26}{3}$,$\dfrac{28}{3}$,5,Integration,$\dfrac{128}{15}$,1076
1260,"Evaluate $\displaystyle\iiint\limits_E z\,dV$ where E is the region from the first octant bounded by $\displaystyle x+y= 2$, $\displaystyle x+2y=2$ and $\displaystyle y^2+z^2=4$",1,$\dfrac{17}{12}$,$\dfrac{18}{13}$,$\dfrac{17}{11}$,$\dfrac{19}{12}$,5,Integration,$\dfrac{17}{12}$,1077
1261,"Evaluate $\displaystyle\iiint\limits_E \frac{1}{(1-x^2-y^2)^\frac{3}{2}} \,dV$ with $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x^2+y^2\leq\,z\leq\,2-x^2-y^2\} $",4,$4\pi$,$6\pi$, $\dfrac{\pi}{2}$,$\dfrac{3\pi}{2}$,5,Integration,$4\pi$,1078
1262,"Evaluate $\displaystyle\iiint\limits_E \frac{1}{(x^2+y^2+z^2)^\frac{3}{2}} \,dV$ with $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 4\leq\,x^2+y^2+z^2\leq\,9\} $",5,$4\pi \ln\left({\dfrac{3}{2}}\right)$,$4\pi \ln\left({\dfrac{1}{2}}\right)$,$2\pi \ln\left({\dfrac{1}{2}}\right)$,$8\pi \ln\left({\dfrac{3}{2}}\right)$,5,Integration,$4\pi \ln\left({\dfrac{3}{2}}\right)$,1079
1263,"Evaluate $\displaystyle\iiint\limits_E z\,dV$ with $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x^2+y^2\geq\,z^2\,\wedge\, x^2+y^2+z^2\leq\,-2z\} $",5,$-\dfrac{\pi}{6}$,$-\dfrac{\pi}{8}$,$\dfrac{\pi}{6}$,$\dfrac{\pi}{4}$,5,Integration,$-\dfrac{\pi}{6}$,1080
1264,"Evaluate $\displaystyle\iiint\limits_E y\,dV$ with $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x^2+y^2+z^2\leq\,1\,\wedge\,z\geq\,-\sqrt{x^2+y^2}\} $",1,$0$,$-\dfrac{1}{6}$,$\dfrac{1}{6}$,$1$,5,Integration,$0$,1081
1265,"Evaluate $\displaystyle\iiint\limits_E \sqrt{x^2+y^2+z^2}\,dV$ with $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x^2+y^2+z^2\leq\,1\,\wedge\,x^2+y^2+(z-1)^2\leq\,1\} $",5,$\dfrac{3\pi}{10}$,$-\dfrac{5\pi}{8}$,$-\dfrac{\pi}{5}$,$\dfrac{2\pi}{5}$,5,Integration,$\dfrac{3\pi}{10}$,1082
1266,"Evaluate $\displaystyle\int_0^{2\pi}\int_0^1 \int_{r^2-1}^{2-\cos{\theta}} 4r^2\sin{\theta}\,dz\,dr\,d\theta$ ",2,$0$,$-1$,$1$,$2$,5,Integration,$0$,1083
1267,"Use a triple integral to determine the volume defined by $x^2+y^2+z^2\leq\,r^2\,,\,r>0$ ",3,"$\dfrac{4\pi\,r^3}{3}$","$\dfrac{5\pi\,r^3}{3}$","$\dfrac{\pi\,r^2}{2}$","$\dfrac{2\pi\,r^2}{3}$",5,Integration,"$\dfrac{4\pi\,r^3}{3}$",1084
1268,"Use a triple integral to determine the volume defined by $\begin{cases} x^2 + y^2 + z^2 \leq\,8 \\ z^2\geq\,x^2+y^2 \end{cases}$",4,$\dfrac{64(\sqrt{2}-1)\pi}{3}$,$\dfrac{64(2\sqrt{2}-1)\pi}{3}$,$\dfrac{32(2\sqrt{2}-1)\pi}{3}$,$\dfrac{32(\sqrt{2}-4)\pi}{3}$,5,Integration,$\dfrac{64(\sqrt{2}-1)\pi}{3}$,1085
1269,"Use a triple integral to determine the volume defined by $\displaystyle x^2+y^2\leq\,z\leq\,\sqrt{x^2+y^2}$",2,$\dfrac{\pi}{6}$,$\dfrac{\pi}{3}$,$\dfrac{2\pi}{3}$,$\dfrac{\pi}{4}$,5,Integration,$\dfrac{\pi}{6}$,1086
1270,"Use a triple integral to determine the volume defined by $\begin{cases}x^2+y^2+z^2\leq\,4\\ x^2+y^2+(z-2)^2\leq4\end{cases}$",4,$\dfrac{10\pi}{3}$,$\dfrac{11\pi}{3}$,$\dfrac{7\pi}{2}$,$2\pi$,5,Integration,$\dfrac{10\pi}{3}$,1087
1271,"Use a triple integral to determine the volume defined by $\begin{cases} x^2+y^2\geq\,z \\ 1\leq\,z\leq\,2 \end{cases}$",4,$\dfrac{3\pi}{2}$,$3\pi$,$\dfrac{5\pi}{2}$,$2\pi$,5,Integration,$\dfrac{3\pi}{2}$,1088
1272,"Use a triple integral to determine the volume of the region defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 0\leq\,z\leq\,2\,\wedge\,x^2+y^2-z^2\leq\,1\} $",4,$\dfrac{14\pi}{3}$,$\dfrac{11\pi}{2}$,$\dfrac{15\pi}{2}$,$\dfrac{13\pi}{2}$,5,Integration,$\dfrac{14\pi}{3}$,1089
1273,"Use a triple integral to determine the volume defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x^2+y^2+z^2\leq\,2z\,\wedge\,x^2+y^2+z^2\leq\,3\,\wedge\,y\geq\,x\} $",5,$\displaystyle\pi(\sqrt3-\dfrac{9}{8})$,$\displaystyle\pi(\sqrt3-\dfrac{3}{8})$,$\displaystyle\pi(\sqrt6-\dfrac{9}{8})$,$\displaystyle\pi(\sqrt6-\dfrac{3}{8})$,5,Integration,$\displaystyle\pi(\sqrt3-\dfrac{9}{8})$,1090
1274,"Use a triple integral to determine the volume defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x^2+z\leq\,4\,\wedge\,z+y\leq\,4\,\wedge\,y\geq\,0\,\wedge\,z\geq\,0\} $",3,$\dfrac{128}{5}$,$\dfrac{124}{15}$,$\dfrac{128}{15}$,$\dfrac{124}{5}$,5,Integration,$\dfrac{128}{5}$,1091
1275,"Use a triple integral to determine the volume defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, -1+\sqrt{x^2+y^2}\leq\,z\leq\,1-\sqrt{x^2+y^2}\} $",3,$\dfrac{2\pi}{3}$,$2\pi$,$\dfrac{\pi}{3}$,$3\pi$,5,Integration,$\dfrac{2\pi}{3}$,1092
1276,"Use spherical coordinates to determine the volume defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x^2+y^2+z^2\leq\,4\,\wedge\,z^2\geq\,x^2+y^2\,\wedge\,y\geq\,0\} $",1,$\dfrac{8\pi}{3}(2-\sqrt2)$,$\pi$,$\dfrac{\pi}{3}(2-\sqrt2)$,$\dfrac{8\pi}{3}$,5,Integration,$\dfrac{8\pi}{3}(2-\sqrt2)$,1093
1277,"Evaluate $\displaystyle\iiint\limits_E (x+y)\,dV$ with $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x\geq\,0\,\wedge\,y\geq\,0\,\wedge\,x^2+y^2\leq\,1\,\wedge\,0\leq\,z\leq\,4-\sqrt{x^2+y^2}\} $",3,$\dfrac{13}{6}$,$\dfrac{13}{12}$,$-1$,$1$,5,Integration,$\dfrac{13}{6}$,1094
1278,"Evaluate $\displaystyle\int_{-1}^{1}\int_0^2 \int_{0}^{1} (x^2+y^2+z^2)\,dxdydz$ ",4,$8$,$-1$,$1$,$2$,5,Integration,$8$,1095
1279,"Evaluate $\displaystyle\int_{\frac{\pi}{3}}^{\frac{\pi}{2}}\int_0^\pi \int_{0}^{1} zy\sin(x)\,dzdydx$ ",2,$\dfrac{\pi^2}{8}$,$\dfrac{\pi}{4}$,$\dfrac{\pi}{8}$,$\dfrac{\pi^2}{4}$,5,Integration,$\dfrac{\pi^2}{8}$,1096
1280,"Evaluate $\displaystyle\int_0^{2}\int_{-1}^{y^2} \int_{-1}^{z} yz\,dx\,dz\,dy$ ",2,$\dfrac{47}{3}$,$\dfrac{52}{3}$,$\dfrac{38}{3}$,$\dfrac{46}{3}$,5,Integration,$\dfrac{47}{3}$,1097
1281,"Evaluate $\displaystyle\int_0^{\frac{\pi}{4}}\int_0^1 \int_0^{x^2} xcos(y)\,dzdxdy$",2,$\dfrac{\sqrt2}{8}$,$\dfrac{\sqrt2}{4}$,$\dfrac{1}{8}$,$\dfrac{1}{4}$,5,Integration,$\dfrac{\sqrt2}{8}$,1098
1282,"Evaluate $\displaystyle\int_0^3\int_0^{\sqrt{9-z^2}} \int_0^x xy\,dydxdz$ ",3,$\dfrac{81}{5}$,$\dfrac{81}{10}$,$\dfrac{81}{8}$,$\dfrac{81}{16}$,5,Integration,$\dfrac{81}{5}$,1099
1283," Evaluate $\displaystyle\int_1^3\int_x^{x^2} \int_0^{ln(z)} xe^y\,dydzdx$",3,$\dfrac{118}{3}$,$\dfrac{105}{4}$,$\dfrac{119}{4}$,$\dfrac{125}{4}$,5,Integration,$\dfrac{118}{3}$,1100
1284,"Evaluate $\displaystyle\iiint\limits_E 2x\, dV$, where E is the region of the first octant bounded by $z^2=x^2+y^2$ and by $x=0$, $y=0$ and $z=4$",1,$\dfrac{128}{3}$,$\dfrac{128}{5}$,$\dfrac{132}{5}$,$\dfrac{127}{6}$,5,Integration,$\dfrac{128}{3}$,1101
1285,"Evaluate $\displaystyle\iiint\limits_E (x^2+y^2)z\,dV$ where E is bounded by $x^2+y^2\leq\,1$ and $x^2+y^2+z^2\leq\,4$",1,$0$,$1$,$-1$,$\pi$,5,Integration,$0$,1102
1286,"Evaluate $\displaystyle\iiint\limits_E (x^2+y^2+z^2)^{-2} \,dV$ where E is defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 1\leq\,x^2+y^2+z^2\leq\,4\,\} $",1,$2\pi$,$\pi$,$\dfrac{\pi}{2}$,$1$,5,Integration,$2\pi$,1103
1287,"Evaluate $\displaystyle\iiint\limits_E 1\,dV$ where E  is defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\,\sqrt{x^2+y^2}\leq \,z\leq\,1-2\sqrt{x^2+y^2}\} $",1,$\dfrac{\pi}{27}$,$\dfrac{\pi}{25}$,$\dfrac{2\pi}{3}$,$\dfrac{2\pi}{27}$,5,Integration,$\dfrac{\pi}{27}$,1104
1288,"Evaluate $\displaystyle\iiint\limits_E z\,dV$ where  E is defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, x\geq\,0\,\wedge\,y\geq\,0 \wedge\,z\geq\,0\,\wedge\,x+y+z=1\} $",4,$\dfrac{1}{24}$,$\dfrac{1}{6}$,$\dfrac{1}{4}$,$\dfrac{1}{16}$,5,Integration,$\dfrac{1}{24}$,1105
1289,"Evaluate $\displaystyle\iiint\limits_E \sqrt{x^2+z^2}\,dV$ where E is the region bounded by $\displaystyle y=x^2+z^2$ and $\displaystyle y=4$",3,$\dfrac{128\pi}{15}$,$\dfrac{128\pi}{5}$,$\dfrac{131\pi}{15}$,$\dfrac{131\pi}{5}$,5,Integration,$\dfrac{128\pi}{15}$,1106
1290,"Use a triple integral to determine the volume of the tetrahedron bounded by $\displaystyle\, x+2y+z=2\,$ , $x=2y\,$ , $z=0$ and $x=0$  ",1,$\dfrac{1}{3}$,$\dfrac{1}{5}$,$\dfrac{2}{3}$,$\dfrac{1}{2}$,5,Integration,$\dfrac{1}{3}$,1107
1291,"Evaluate $\displaystyle\iiint\limits_E xyz^2\,dV$ where E is the region defined by $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 0\leq\,x\leq\,1\,\wedge\,-1\leq\,y\leq\,2\,\wedge\,0\leq\,z\leq\,3\} $",2,$\dfrac{27}{4}$,$\dfrac{29}{4}$,$\dfrac{28}{3}$,$\dfrac{29}{3}$,5,Integration,$\dfrac{27}{4}$,1108
1292,"Evaluate $\displaystyle\int_0^1\int_0^z\int_0^{x+y} 6xz\,dydxdz$",2,$1$,$0$,$2$,$5$,5,Integration,$1$,1109
1293,"Evaluate $\displaystyle\int_0^3\int_0^1\int_0^{\sqrt{1-z^2}}ze^y\,dxdzdy$",3,$\dfrac{e^3-1}{3}$,$-1$,$-\dfrac{1}{3}$,$\dfrac{e^3-1}{2}$,5,Integration,$\dfrac{e^3-1}{3}$,1110
1294,"Evaluate $\displaystyle \int_0^{\frac{\pi}{2}}\int_0^y\int_0^x \cos(x+y+z)\,dzdxdy$",2,$-\dfrac{1}{3}$,$\dfrac{1}{3}$,$-\dfrac{1}{2}$,$\dfrac{1}{2}$,5,Integration,$-\dfrac{1}{3}$,1111
1295,"Evaluate $\displaystyle\iiint\limits_E 2x\,dV$ where  $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 0\leq\,y\leq\,2\,\wedge\,0\leq\,x\leq\,\sqrt{4-y^2}\,\wedge\,0\leq\,z\leq\,y\} $",4,$4$,$2$,$1$,$3$,5,Integration,$4$,1112
1296,"Evaluate $\displaystyle\iiint\limits_E 6xy \,dV$ where E is defined by  $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\,0\leq\,x\leq\,1\,\wedge\,0\leq\,y\leq\,\sqrt{x}\,\wedge\,0\leq\,z\leq\,1+x+y\} $",1,$\dfrac{65}{28}$,$\dfrac{65}{14}$,$\dfrac{65}{4}$,$\dfrac{65}{23}$,5,Integration,$\dfrac{65}{28}$,1113
1297,"Evaluate $\displaystyle\iiint\limits_E x^2e^y\,dV$ where E is the region bounded by $\displaystyle z=1-y^2\,$, $\displaystyle z=0\,$, $x=1\,$ and $x=-1$",2,$\dfrac{8}{3\operatorname{e}}$,$\dfrac{6}{5\operatorname{e}}$,$\dfrac{8\operatorname{e}}{3}$,$\dfrac{\operatorname{e}}{3}$,5,Integration,$\dfrac{8}{3\operatorname{e}}$,1114
1298,"Evaluate $\displaystyle\iiint\limits_Q x^2\,dV$ where Q is the solid tetrahedron with vertices $(0,0,0)\,$, $(0,1,0)\,$, $(1,0,0)\,$, and $(0,0,1)\,$",2,$\dfrac{1}{60}$,$\dfrac{1}{30}$,$\dfrac{7}{60}$,$\dfrac{7}{30}$,5,Integration,$\dfrac{1}{60}$,1115
1299,"Evaluate $\displaystyle\iiint\limits_T x\,dV$ where T is bounded by $x=4$ and $x=4y^2+4z^2$",2,$\dfrac{16\pi}{3}$,$\dfrac{17\pi}{5}$,$\dfrac{16\pi}{5}$,$\dfrac{19\pi}{3}$,5,Integration,$\dfrac{16\pi}{3}$,1116
1300,Use a triple integral to determine the volume of a tetrahedron enclosed by the coordinate planes and $2x+y+z=4$ ,2,$\dfrac{16}{3}$,$\dfrac{17}{3}$,$\dfrac{19}{3}$,$\dfrac{14}{3}$,5,Integration,$\dfrac{16}{3}$,1117
1301,"Use a triple integral to determine the volume bounded by $y^2+x^2=9\,$, $y+z=5\,$ and $z=1\,$ ",1,$36\pi$,$30\pi$,$18\pi$,$9\pi$,5,Integration,$36\pi$,1118
1302,"Evaluate $\displaystyle \int_0^2\int_0^{z^2}\int_0^{y-z} (2x-y)\,dxdydz$",2,$\dfrac{16}{15}$,$\dfrac{17}{15}$,$\dfrac{16}{5}$,$\dfrac{17}{5}$,5,Integration,$\dfrac{16}{15}$,1119
1303,"Evaluate $\displaystyle \int _0^1\int _x^{2x}\int _0^y 2xyz\,dzdydx$",2,$\dfrac{5}{8}$,$\dfrac{7}{8}$,$\dfrac{5}{2}$,$\dfrac{7}{2}$,5,Integration,$\dfrac{5}{8}$,1120
1304,"Evaluate $\displaystyle\int_1^2\int_0^{2z}\int_0^{\ln(x)} x\operatorname{e}^{-y}\, dydxdz$",3,$\dfrac{5}{3}$,$\dfrac{7}{3}$,$1$,$0$,5,Integration,$\dfrac{5}{3}$,1121
1305,"Evaluate $\displaystyle \int_0^1\int_0^1\int_0^{\sqrt{1-z^2}} \dfrac{z}{y+1}\,dxdzdy$",4,$\dfrac{\ln(2)}{3}$,$\ln(2)$,$\dfrac{\ln(2)}{2}$,$\ln(3)$,5,Integration,$\dfrac{\ln(2)}{3}$,1122
1306,"Evaluate $\displaystyle\iiint\limits_E y\,dV$ where  $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 0\leq\,x\leq\,3\,\wedge\,0\leq\,y\leq\,x\,\wedge\,x-y\leq\,z\leq\,x+y\} $",3,$\dfrac{27}{2}$,$\dfrac{1}{2}$,$\dfrac{27}{4}$,$\dfrac{1}{27}$,5,Integration,$\dfrac{27}{2}$,1123
1307,"Evaluate $\displaystyle \iiint\limits_E \operatorname{e}^{\frac{z}{y}}\,dV$ where $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 1\leq\,y\leq\,2\,\wedge\,y\leq\,x\leq\,1\,\wedge\,0\leq\,z\leq\,xy\} $",2,$\dfrac{3\operatorname{e}}{2}+\dfrac{5}{6}-\displaystyle\operatorname{e}^2$,$\dfrac{3\operatorname{e}}{2}$,$\dfrac{3\operatorname{e}}{2}-\dfrac{5}{6}$,$\displaystyle-\operatorname{e}^2+\dfrac{5}{6}$,5,Integration,$\dfrac{3\operatorname{e}}{2}+\dfrac{5}{6}-\displaystyle\operatorname{e}^2$,1124
1308,"Evaluate $\displaystyle\iiint\limits_E \dfrac{z}{x^2+z^2}\,dV$ where $\displaystyle E=\{(x,y,z)\in\mathbb{R}^3:\, 1\leq\,y\leq\,4\,\wedge\,y\leq\,z\leq\,4\,\wedge\,0\leq\,x\leq\,z\} $
",4,$\dfrac{9\pi}{8}$,$\dfrac{9\pi}{4}$,$\dfrac{3\pi}{8}$,$\dfrac{3\pi}{4}$,5,Integration,$\dfrac{9\pi}{8}$,1125
1309,"Evaluate $\displaystyle\iiint\limits_E \sin(y)\,dV$ where E lies between $\displaystyle z=x$ and the triangular region with vertices $\displaystyle (0,0,0)\,$, $\displaystyle (\pi,0,0)\,$ and $\displaystyle (0,\pi,0)$",4,$\dfrac{\pi^2}{2}-2$,$\dfrac{\pi^2}{3}-1$,$\dfrac{\pi^2}{3}-2$,$\dfrac{\pi^2}{3}-3$,5,Integration,$\dfrac{\pi^2}{2}-2$,1126
1310,"Evaluate $\displaystyle \iiint\limits_E xy\,dV$ where E is bounded by $\displaystyle y=x^2\,$, $\displaystyle x=y^2\,$, $\displaystyle z=0\,$ and $\displaystyle z=x+y$",5,$\dfrac{3}{28}$,$1$,$\dfrac{3}{18}$,$3$,5,Integration,$\dfrac{3}{28}$,1127
1311,"Evaluate $\displaystyle \iiint\limits_E xyz\,dV$ where E is the solid tetrahedron with vertices $\displaystyle (0,0,0)\,$, $\displaystyle (1,0,0)\,$, $\displaystyle (1,1,0)\,$ and $\displaystyle (1,0,1)$",3,$\dfrac{1}{144}$,$\dfrac{1}{12}$,$\dfrac{5}{144}$,$\dfrac{5}{12}$,5,Integration,$\dfrac{1}{144}$,1128
1312,"Evaluate $\displaystyle \iiint\limits_E z\,dV$ where E is the region bounded by $\displaystyle y^2+z^2=9\,$, $\displaystyle x=0\,$, $\displaystyle y=3x\,$ and $\displaystyle z=0\,$, in the first octant.",1,$\dfrac{27}{8}$,$\dfrac{27}{4}$,$\dfrac{27}{2}$,$\dfrac{27}{6}$,5,Integration,$\dfrac{27}{8}$,1129
1313,"Use a triple integral to determine the volume bounded by $\displaystyle y=x^2+z^2\,$ and $\displaystyle y=8-x^2-z^2\,$ ",1,$16\pi$,$8\pi$,$\pi$,$6\pi$,5,Integration,$16\pi$,1130
1314,"Use a triple integral to determine the volume of the solid bounded by $\displaystyle y=x^2\,$, $\displaystyle z=0\,$ and $\displaystyle y+z=1$",1,$\dfrac{8}{15}$,$\dfrac{8}{5}$,$\dfrac{16}{15}$,$\dfrac{16}{5}$,5,Integration,$\dfrac{8}{15}$,1131
1315,"Use a triple integral to determine the volume of the solid bounded by $\displaystyle x^2+z^2=4\,$, $\displaystyle y=-1\,$ and $\displaystyle y+z=4\,$",4,$20\pi$,$10\pi$,$5\pi$,$\pi$,5,Integration,$20\pi$,1132
1316,"Evaluate $\displaystyle \iiint\limits_E \sqrt{x^2+y^2}\,dV$ where E is the region bounded by $\displaystyle x^2+y^2=16\,$, $\displaystyle z=-5\,$ and $\displaystyle z=4$",1,$384\pi$,$100\pi$,$58\pi$,$152\pi$,5,Integration,$384\pi$,1133
